,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力
0,2021年11月30日08时30分00秒,0.9793120622634888,0.0,0.0,940.20751953125,0.0,11.457950592041016,0.18097686767578125,19.83106803894043,22.32831573486328,16.45718765258789,11.637134552001953,0.00018400000408291817,0.00018400000408291817,15.717958450317383,16.59933853149414,12.926918983459473,15.13037109375,12.33933162689209,14.689681053161621,15.13037109375,15.86485481262207,-79.9926528930664,0.009181000292301178,2.2328314781188965,6.637290954589844,9.499326705932617
1,2021年11月30日08时30分20秒,1.0527604818344116,0.0,0.011001082137227058,940.20751953125,0.0,11.457950592041016,0.18097686767578125,19.83106803894043,22.32831573486328,16.45718765258789,11.598878860473633,0.00018400000408291817,0.00018400000408291817,15.717958450317383,16.59933853149414,12.926918983459473,15.424164772033691,12.780021667480469,14.689681053161621,15.424164772033691,15.86485481262207,-79.9926528930664,0.009181000292301178,2.2328314781188965,6.4854888916015625,9.499326705932617
2,2021年11月30日08时30分40秒,1.00379478931427,0.0,0.0,940.20751953125,0.0,11.457950592041016,0.18097686767578125,19.83106803894043,22.622108459472656,16.45718765258789,11.598878860473633,0.00018400000408291817,0.00018400000408291817,15.424164772033691,16.59933853149414,12.926918983459473,15.424164772033691,12.486227989196777,14.689681053161621,15.424164772033691,15.86485481262207,-79.9926528930664,0.009181000292301178,2.2328314781188965,6.4854888916015625,9.499326705932617
3,2021年11月30日08时31分00秒,1.00379478931427,0.7344840168952942,0.033003248274326324,940.20751953125,0.0,11.457950592041016,0.18097686767578125,19.83106803894043,22.32831573486328,16.45718765258789,11.598878860473633,0.00018400000408291817,0.00018400000408291817,15.717958450317383,16.89313316345215,12.926918983459473,15.424164772033691,12.33933162689209,14.689681053161621,15.13037109375,15.86485481262207,-79.9926528930664,0.009181000292301178,2.2352795600891113,6.637290954589844,9.499326705932617
4,2021年11月30日08时31分20秒,0.9793120622634888,4.406904220581055,0.05500541254878044,940.20751953125,0.0,11.457950592041016,0.18097686767578125,19.83106803894043,22.32831573486328,16.45718765258789,11.637134552001953,0.00018400000408291817,0.00018400000408291817,15.717958450317383,16.59933853149414,12.926918983459473,15.424164772033691,12.780021667480469,14.689681053161621,15.424164772033691,15.86485481262207,-79.9926528930664,0.009181000292301178,2.2328314781188965,6.4854888916015625,9.499326705932617
5,2021年11月30日08时31分40秒,0.9303464293479919,4.406904220581055,0.06600649654865265,940.20751953125,0.0,11.457950592041016,0.18097686767578125,19.83106803894043,22.034521102905273,16.45718765258789,11.598878860473633,0.00018400000408291817,0.00018400000408291817,15.717958450317383,16.59933853149414,12.926918983459473,15.424164772033691,12.486227989196777,14.689681053161621,15.13037109375,15.86485481262207,-79.9926528930664,0.009181000292301178,2.2328314781188965,6.4854888916015625,9.499326705932617
6,2021年11月30日08时32分00秒,1.0527604818344116,0.0,0.06600649654865265,940.20751953125,0.0,11.311054229736328,0.18097686767578125,19.83106803894043,22.034521102905273,16.45718765258789,11.637134552001953,0.00018400000408291817,0.00018400000408291817,15.717958450317383,16.89313316345215,12.926918983459473,15.13037109375,12.33933162689209,14.689681053161621,15.424164772033691,15.86485481262207,-79.9926528930664,0.009181000292301178,2.2328314781188965,6.4854888916015625,9.499326705932617
7,2021年11月30日08时32分20秒,1.00379478931427,3.6724202632904053,0.05500541254878044,940.20751953125,0.0,11.311054229736328,0.18097686767578125,19.83106803894043,22.622108459472656,16.45718765258789,11.598878860473633,0.00018400000408291817,0.00018400000408291817,15.86485481262207,16.89313316345215,12.926918983459473,15.424164772033691,12.33933162689209,14.689681053161621,15.424164772033691,15.86485481262207,-79.9926528930664,0.009181000292301178,2.2352795600891113,6.637290954589844,9.499326705932617
8,2021年11月30日08时32分40秒,1.00379478931427,0.7344840168952942,0.033003248274326324,940.20751953125,0.0,11.457950592041016,0.18097686767578125,19.83106803894043,22.034521102905273,16.45718765258789,11.598878860473633,0.00018400000408291817,0.00018400000408291817,15.86485481262207,16.89313316345215,12.926918983459473,15.13037109375,12.33933162689209,14.689681053161621,15.424164772033691,15.86485481262207,-79.9926528930664,0.009181000292301178,2.2328314781188965,6.409599304199219,9.499326705932617
9,2021年11月30日08时33分00秒,1.00379478931427,4.406904220581055,0.05500541254878044,940.20751953125,0.0,11.457950592041016,0.18097686767578125,19.83106803894043,22.622108459472656,16.45718765258789,11.637134552001953,0.00018400000408291817,0.00018400000408291817,15.717958450317383,16.59933853149414,12.926918983459473,15.424164772033691,12.780021667480469,14.689681053161621,15.424164772033691,15.86485481262207,-79.9926528930664,0.009181000292301178,2.2328314781188965,6.409599304199219,9.499326705932617
10,2021年11月30日08时33分20秒,1.0527604818344116,0.7344840168952942,0.0,940.20751953125,0.0,11.457950592041016,0.18097686767578125,19.83106803894043,22.32831573486328,16.45718765258789,11.598878860473633,0.00018400000408291817,0.00018400000408291817,15.717958450317383,16.89313316345215,12.926918983459473,15.717958450317383,12.780021667480469,14.689681053161621,15.424164772033691,15.86485481262207,-79.9926528930664,0.009181000292301178,2.2328314781188965,6.409599304199219,9.499326705932617
