,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力
0,2021年10月07日09时00分00秒,71.9916763305664,754.3151245117188,-9999,-9999,1.4864120483398438,14.689681053161621,0.53392094373703,16.452442169189453,16.158649444580078,15.424318313598633,15.940752029418945,0.00018400000408291817,0.00018400000408291817,14.39588737487793,15.424164772033691,15.717958450317383,13.661402702331543,14.983474731445312,13.220711708068848,17.62761688232422,14.102092742919922,-79.9926528930664,0.009181000292301178,-9999,-9999,-9999
1,2021年10月07日09时00分20秒,71.9916763305664,762.3944091796875,-9999,-9999,1.4851878881454468,14.689681053161621,0.5785775780677795,16.59933853149414,16.158649444580078,15.290428161621094,15.883370399475098,0.00018400000408291817,0.00018400000408291817,14.39588737487793,15.13037109375,15.424164772033691,13.955196380615234,14.983474731445312,12.926918983459473,17.62761688232422,14.102092742919922,-79.9926528930664,0.009181000292301178,-9999,-9999,-9999
2,2021年10月07日09时00分40秒,72.04064178466797,766.8013305664062,-9999,-9999,1.4839637279510498,14.689681053161621,0.6201004385948181,17.186925888061523,15.86485481262207,15.175663948059082,15.883370399475098,0.00018400000408291817,0.00018400000408291817,14.248991012573242,15.13037109375,15.424164772033691,13.661402702331543,14.983474731445312,12.926918983459473,18.06830596923828,14.102092742919922,-79.9926528930664,0.009181000292301178,-9999,-9999,-9999
3,2021年10月07日09时01分00秒,72.04064178466797,772.6771850585938,-9999,-9999,1.483351707458496,14.983474731445312,0.6353776454925537,17.33382225036621,16.59933853149414,15.519953727722168,15.481698989868164,0.00018400000408291817,0.00018400000408291817,14.39588737487793,15.13037109375,15.717958450317383,13.661402702331543,14.983474731445312,12.926918983459473,17.774513244628906,14.102092742919922,-79.9926528930664,0.009181000292301178,-9999,-9999,-9999
4,2021年10月07日09时01分20秒,72.08960723876953,774.880615234375,-9999,-9999,1.483351707458496,15.277268409729004,0.583278238773346,17.921409606933594,16.89313316345215,15.577335357666016,15.558207511901855,0.00018400000408291817,0.00018400000408291817,14.39588737487793,15.13037109375,15.717958450317383,13.514505386352539,14.542783737182617,12.926918983459473,17.62761688232422,14.102092742919922,-79.9926528930664,0.009181000292301178,-9999,-9999,-9999
5,2021年10月07日09时01分40秒,72.04064178466797,780.0220336914062,-9999,-9999,1.4821276664733887,14.983474731445312,0.5456726551055908,18.06830596923828,16.89313316345215,15.519953727722168,15.845115661621094,0.00018400000408291817,0.00018400000408291817,14.248991012573242,15.13037109375,15.424164772033691,13.514505386352539,14.983474731445312,12.926918983459473,17.774513244628906,14.102092742919922,-79.9926528930664,0.009181000292301178,-9999,-9999,-9999
6,2021年10月07日09时02分00秒,72.04064178466797,783.6944580078125,-9999,-9999,1.4809035062789917,15.424164772033691,0.5464560985565186,18.655895233154297,16.59933853149414,15.194791793823242,16.074642181396484,0.00018400000408291817,0.00018400000408291817,14.248991012573242,15.424164772033691,15.424164772033691,13.661402702331543,14.542783737182617,12.926918983459473,17.774513244628906,14.102092742919922,-79.9926528930664,0.009181000292301178,-9999,-9999,-9999
7,2021年10月07日09时02分20秒,72.04064178466797,791.039306640625,-9999,-9999,1.4802913665771484,14.983474731445312,0.5774023532867432,18.80278968811035,17.33382225036621,15.328681945800781,15.883370399475098,0.00018400000408291817,0.00018400000408291817,14.39588737487793,15.13037109375,15.424164772033691,13.661402702331543,14.983474731445312,12.926918983459473,17.774513244628906,14.39588737487793,-79.9926528930664,0.009181000292301178,-9999,-9999,-9999
8,2021年10月07日09时02分40秒,72.08960723876953,793.2427368164062,-9999,-9999,1.4802913665771484,15.424164772033691,0.5484147667884827,19.390377044677734,17.62761688232422,15.558207511901855,15.711226463317871,0.00018400000408291817,0.00018400000408291817,14.39588737487793,15.424164772033691,15.424164772033691,13.955196380615234,14.983474731445312,12.926918983459473,17.774513244628906,14.102092742919922,-79.9926528930664,0.009181000292301178,-9999,-9999,-9999
9,2021年10月07日09时03分00秒,72.04064178466797,800.587646484375,-9999,-9999,1.4790672063827515,15.424164772033691,0.5194271206855774,19.83106803894043,17.921409606933594,15.577335357666016,15.845115661621094,0.00018400000408291817,0.00018400000408291817,14.39588737487793,15.13037109375,15.424164772033691,13.661402702331543,14.983474731445312,12.926918983459473,17.774513244628906,14.39588737487793,-79.9926528930664,0.009181000292301178,-9999,-9999,-9999
